Number of clusters, Avarge Mean Score_fasttext, Avarge Mean Score_w2v, Avarge Mean Score_glove,Average
7,0.034797773500226,0.000921375118956,-0.006812475666013,0.009635557651056
8,0.046689510442773,0.000370332589563,-0.007352982464494,0.013235620189281
9,0.042959497326356,0.010920182085362,-0.003184582112598,0.016898365766373
10,0.052214660800233,0.003694207006571,-0.006083529900531,0.016608445968758
13,0.054981980226478,0.009875783351377,-0.005289902990242,0.019855953529204
16,0.052653403087538,0.001565028127967,-0.006525128538511,0.015897767558998
19,0.054255206705292,0.005709804119792,-0.005131875161966,0.018277711887706
22,0.051130070128998,0.005376872078054,-0.005264439800122,0.017080834135644
24,0.051627806757583,0.008749876389799,-0.002881351520821,0.019165443875521
25,0.052139894477689,0.00608905967401,-0.005167575405082,0.017687126248872
28,0.053630692673842,0.003521828012807,-0.005536350093065,0.017205390197861
29,0.05311142059047,0.007599063605007,-0.004198698669064,0.018837261842138
30,0.058034707672742,0.007152263692042,-0.003897349142704,0.020429874074027
31,0.053492088832692,0.00453457386263,-0.005542463732833,0.017494732987496
34,0.059771927573672,0.009313875465047,-0.00294142665697,0.022048125460583
35,0.060488188585109,0.006569537219779,-0.004717483687679,0.020780080705736
37,0.06399426482885,0.004134459790116,-0.004920635203663,0.021069363138434
40,0.065975582468266,0.00989531264743,-0.00237201340162,0.024499627238026
43,0.057704185328328,0.008716023394888,-0.002977501916614,0.021147568935534
46,0.061466565872572,0.007587142986805,-0.003841636669033,0.021737357396781
49,0.06288383606224,0.010597742422329,-0.002157839802294,0.023774579560758
50,0.068201778116032,0.008479098392993,-0.003158246233999,0.024507543425009
