Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.003694207006571244, -0.0036009700930848413
13, 0.009875783351377192, -0.001999985052614796
16, 0.0015650281279670952, -0.005393265120837153
19, 0.005709804119792329, -0.0060385785784040176
22, 0.0053768720780542475, -0.0039036301204136443
24, 0.008749876389799476, -0.0022233168932856346
25, 0.006089059674009984, -0.0036029364138233416
28, 0.0035218280128070283, -0.002354229907600247
29, 0.007599063605007195, 0.0005502257055165817
30, 0.0071522636920416435, -0.0045875440325055805
31, 0.004534573862629552, -0.0037940854442362884
34, 0.009313875465046745, 0.0005561914249342316
35, 0.006569537219778788, -0.0010524259294782366
37, 0.00413445979011565, -0.002705721173967634
40, 0.009895312647430264, -0.0028655978611537387
43, 0.008716023394888367, 0.0012880831348652743
46, 0.007587142986804908, -0.0015654641754773197
49, 0.010597742422329094, 0.0009954748348313936
50, 0.008479098392992603, -0.0018120286902602836
7, 0.0009213751189562742, -0.0011199406215122768
8, 0.0003703325895630582, -0.002080270416882573
9, 0.01092018208536161, 0.0025852561483577807
