Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.03, 0.024
13, 0.03, 0.033
16, 0.026, 0.032
19, 0.029, 0.022
22, 0.028, 0.021
24, 0.038, 0.027
25, 0.045, 0.029
28, 0.034, 0.034
29, 0.045, 0.038
30, 0.052, 0.041
31, 0.039, 0.036
34, 0.046, 0.038
35, 0.057, 0.055
37, 0.047, 0.047
40, 0.06, 0.051
43, 0.06, 0.046
46, 0.051, 0.046
49, 0.052, 0.041
50, 0.051, 0.045
7, 0.013, 0.008
8, 0.031, 0.03
9, 0.032, 0.02
