Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.089, 0.076
13, 0.085, 0.09
16, 0.107, 0.11
19, 0.1, 0.115
22, 0.106, 0.12
24, 0.112, 0.104
25, 0.105, 0.113
28, 0.104, 0.095
29, 0.116, 0.111
30, 0.128, 0.126
31, 0.117, 0.121
34, 0.121, 0.108
35, 0.121, 0.123
37, 0.112, 0.119
40, 0.126, 0.125
43, 0.129, 0.117
46, 0.123, 0.111
49, 0.126, 0.119
50, 0.124, 0.116
7, 0.069, 0.058
8, 0.068, 0.062
9, 0.083, 0.087
