Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.051, 0.056
13, 0.047, 0.051
16, 0.051, 0.041
19, 0.053, 0.045
22, 0.049, 0.044
24, 0.05, 0.04
25, 0.06, 0.05
28, 0.053, 0.047
29, 0.049, 0.031
30, 0.06, 0.05
31, 0.061, 0.045
34, 0.058, 0.04
35, 0.065, 0.047
37, 0.068, 0.052
40, 0.057, 0.047
43, 0.062, 0.045
46, 0.066, 0.048
49, 0.061, 0.048
50, 0.059, 0.04
7, 0.044, 0.04
8, 0.049, 0.047
9, 0.043, 0.034
