Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.032, 0.03
13, 0.029, 0.023
16, 0.046, 0.047
19, 0.031, 0.026
22, 0.024, 0.021
24, 0.031, 0.029
25, 0.035, 0.033
28, 0.031, 0.023
29, 0.035, 0.03
30, 0.031, 0.026
31, 0.039, 0.03
34, 0.043, 0.029
35, 0.045, 0.026
37, 0.041, 0.025
40, 0.033, 0.021
43, 0.04, 0.026
46, 0.04, 0.026
49, 0.037, 0.022
50, 0.039, 0.028
7, 0.035, 0.037
8, 0.029, 0.032
9, 0.027, 0.014
