Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.018, 0.011
13, 0.016, 0.01
16, 0.023, 0.019
19, 0.027, 0.017
22, 0.029, 0.021
24, 0.028, 0.021
25, 0.027, 0.018
28, 0.028, 0.013
29, 0.027, 0.017
30, 0.022, 0.013
31, 0.024, 0.014
34, 0.025, 0.014
35, 0.022, 0.014
37, 0.035, 0.016
40, 0.022, 0.013
43, 0.024, 0.014
46, 0.028, 0.016
49, 0.031, 0.016
50, 0.026, 0.012
7, 0.008, 0.005
8, 0.012, 0.012
9, 0.018, 0.017
