Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.01312158794792331, -0.002694963338423748
13, 0.02104017634032473, -0.0030732112028160874
16, 0.016857682648970154, 0.002001495750582948
19, 0.024850266468896265, -0.0035281146302515148
22, 0.016223722209182875, -0.004158277900851503
24, 0.025258685374746525, -0.0020003283753687023
25, 0.017393206632380583, -0.0025335786780532527
28, 0.03097380499580859, 0.008189356278400032
29, 0.022232017072466876, -0.0024504136066047515
30, 0.026176538535526823, 0.007533050848513233
31, 0.02896310773784193, -0.0007442295308015785
34, 0.023040853972051467, 0.000709177523243184
35, 0.02330166683530668, -0.00043500160684390945
37, 0.021438989743171183, -0.0005897039296675702
40, 0.026949370906061053, -0.00016512345294563137
43, 0.02538633759631667, 0.003191679351183833
46, 0.02252573208144628, -0.002030620964205995
49, 0.022155174563597363, 0.0009707610461176658
50, 0.023163805664315515, -0.000508847139319595
7, 0.020259701030942514, -0.004096502187300701
8, 0.020179276805447073, -0.006694657461983817
9, 0.02990904237677992, -0.004474677261041136
