Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.027, 0.021
13, 0.027, 0.031
16, 0.038, 0.03
19, 0.043, 0.03
22, 0.033, 0.02
24, 0.043, 0.03
25, 0.038, 0.044
28, 0.036, 0.032
29, 0.039, 0.036
30, 0.031, 0.024
31, 0.042, 0.039
34, 0.035, 0.024
35, 0.045, 0.04
37, 0.042, 0.03
40, 0.038, 0.032
43, 0.044, 0.039
46, 0.038, 0.035
49, 0.046, 0.039
50, 0.043, 0.034
7, 0.02, 0.012
8, 0.025, 0.022
9, 0.033, 0.024
