Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.021, 0.013
13, 0.021, 0.024
16, 0.033, 0.026
19, 0.027, 0.019
22, 0.032, 0.024
24, 0.022, 0.014
25, 0.026, 0.025
28, 0.029, 0.02
29, 0.024, 0.02
30, 0.037, 0.031
31, 0.027, 0.018
34, 0.04, 0.023
35, 0.029, 0.024
37, 0.034, 0.023
40, 0.031, 0.023
43, 0.043, 0.028
46, 0.041, 0.019
49, 0.031, 0.023
50, 0.041, 0.029
7, 0.019, 0.022
8, 0.013, 0.011
9, 0.025, 0.028
