Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.025, 0.021
13, 0.038, 0.027
16, 0.046, 0.038
19, 0.05, 0.042
22, 0.055, 0.044
24, 0.041, 0.026
25, 0.051, 0.044
28, 0.049, 0.033
29, 0.048, 0.04
30, 0.056, 0.031
31, 0.047, 0.04
34, 0.064, 0.042
35, 0.053, 0.049
37, 0.057, 0.051
40, 0.055, 0.055
43, 0.074, 0.07
46, 0.068, 0.059
49, 0.056, 0.039
50, 0.067, 0.051
7, 0.015, 0.012
8, 0.026, 0.031
9, 0.024, 0.026
